time,open,high,low,close
2002-05-06,0.5397,0.5397,0.5397,0.5397
2002-05-07,0.5397,0.5397,0.5395,0.5395
2002-05-08,0.5395,0.5397,0.5395,0.5397
2002-05-09,0.5397,0.544,0.5397,0.544
2002-05-10,0.544,0.5448,0.544,0.5448
2002-05-13,0.5444,0.5475,0.5444,0.5475
2002-05-14,0.5475,0.5475,0.5475,0.5475
2002-05-15,0.5475,0.5492,0.5475,0.5492
2002-05-16,0.5492,0.5492,0.5488,0.5488
2002-05-17,0.5488,0.5528,0.5488,0.5528
2002-05-20,0.5526,0.5562,0.5526,0.5562
2002-05-21,0.5562,0.5567,0.5562,0.5567
2002-05-22,0.5567,0.55895,0.5567,0.55895
2002-05-23,0.55895,0.55895,0.55635,0.55635
2002-05-24,0.55635,0.5566,0.55635,0.5566
2002-05-27,0.5568,0.5574,0.5568,0.5574
2002-05-28,0.5574,0.5616,0.5574,0.5616
2002-05-29,0.5616,0.5629,0.5616,0.5629
2002-05-30,0.5629,0.5641,0.5629,0.5641
2002-05-31,0.5641,0.5674,0.5641,0.5674
2002-06-03,0.5674,0.57125,0.5674,0.57125
2002-06-04,0.57125,0.5724,0.57125,0.5724
2002-06-05,0.5724,0.57375,0.5724,0.57375
2002-06-06,0.57375,0.5759,0.57375,0.5759
2002-06-10,0.5713,0.5713,0.5707,0.5707
2002-06-11,0.5707,0.5707,0.5707,0.5707
2002-06-12,0.5707,0.5707,0.5702,0.5702
2002-06-13,0.5702,0.5702,0.567,0.567
2002-06-14,0.567,0.567,0.5604,0.5604
2002-06-17,0.5608,0.5608,0.5588,0.5588
2002-06-18,0.5588,0.566,0.5588,0.566
2002-06-19,0.566,0.566,0.5652,0.5652
2002-06-20,0.5652,0.5719,0.5652,0.5719
2002-06-21,0.5719,0.5748,0.5719,0.5748
2002-06-24,0.5744,0.5744,0.5703,0.5703
2002-06-25,0.5703,0.5728,0.5703,0.5728
2002-06-26,0.5728,0.5728,0.55965,0.55965
2002-06-27,0.55965,0.56425,0.55965,0.56425
2002-06-28,0.56425,0.56425,0.5638,0.5638
2002-07-01,0.5644,0.5644,0.5622,0.5622
2002-07-02,0.5622,0.564,0.5622,0.564
2002-07-03,0.564,0.564,0.5603,0.5603
2002-07-04,0.5603,0.5603,0.5562,0.5562
2002-07-05,0.5562,0.5573,0.5562,0.5573
2002-07-08,0.5577,0.5649,0.5577,0.5649
2002-07-09,0.5649,0.5674,0.5649,0.5674
2002-07-10,0.5674,0.5674,0.5653,0.5653
2002-07-11,0.5653,0.5653,0.5574,0.5574
2002-07-12,0.5574,0.5587,0.5574,0.5587
2002-07-15,0.5587,0.5601,0.5587,0.5601
2002-07-16,0.5601,0.5601,0.5572,0.5572
2002-07-17,0.5572,0.5572,0.5513,0.5513
2002-07-18,0.5513,0.554,0.5513,0.554
2002-07-19,0.554,0.5568,0.554,0.5568
2002-07-22,0.5565,0.5565,0.5478,0.5478
2002-07-23,0.5478,0.5478,0.5383,0.5383
2002-07-24,0.5383,0.5448,0.5383,0.5448
2002-07-25,0.5448,0.5448,0.54165,0.54165
2002-07-26,0.54165,0.54165,0.5362,0.5362
2002-07-29,0.5364,0.54125,0.5364,0.54125
2002-07-30,0.54125,0.54365,0.54125,0.54365
2002-07-31,0.54365,0.54365,0.54315,0.54315
2002-08-01,0.54315,0.54315,0.53955,0.53955
2002-08-02,0.53955,0.53955,0.5393,0.5393
2002-08-05,0.5391,0.5391,0.5279,0.5279
2002-08-06,0.5279,0.53025,0.5279,0.53025
2002-08-07,0.53025,0.53665,0.53025,0.53665
2002-08-08,0.53665,0.53665,0.53465,0.53465
2002-08-09,0.53465,0.5356,0.53465,0.5356
2002-08-12,0.5347,0.53945,0.5347,0.53945
2002-08-13,0.53945,0.53945,0.5374,0.5374
2002-08-14,0.5374,0.5379,0.5374,0.5379
2002-08-15,0.5379,0.5424,0.5379,0.5424
2002-08-16,0.5424,0.5459,0.5424,0.5459
2002-08-19,0.5459,0.5459,0.5411,0.5411
2002-08-20,0.5411,0.5465,0.5411,0.5465
2002-08-21,0.5465,0.5465,0.5448,0.5448
2002-08-22,0.5448,0.5448,0.5417,0.5417
2002-08-23,0.5417,0.5432,0.5417,0.5432
2002-08-26,0.5448,0.5448,0.5447,0.5447
2002-08-27,0.5447,0.5536,0.5447,0.5536
2002-08-28,0.5536,0.5536,0.5512,0.5512
2002-08-29,0.5512,0.5524,0.5512,0.5524
2002-08-30,0.5524,0.5524,0.5507,0.5507
2002-09-02,0.55,0.5515,0.55,0.5515
2002-09-03,0.5515,0.5515,0.5477,0.5477
2002-09-04,0.5477,0.5477,0.5454,0.5454
2002-09-05,0.5454,0.5454,0.5428,0.5428
2002-09-09,0.5473,0.5482,0.5473,0.5482
2002-09-10,0.5482,0.5486,0.5482,0.5486
2002-09-12,0.5486,0.5523,0.5486,0.5523
2002-09-13,0.5523,0.5523,0.5498,0.5498
2002-09-16,0.5504,0.5504,0.5481,0.5481
2002-09-17,0.5481,0.5481,0.5479,0.5479
2002-09-18,0.5479,0.54895,0.5479,0.54895
2002-09-19,0.54895,0.5496,0.54895,0.5496
2002-09-20,0.5496,0.5496,0.5459,0.5459
