time,open,high,low,close
2002-05-07,0.62375,0.62375,0.62375,0.62375
2002-05-08,0.62375,0.62375,0.62125,0.62125
2002-05-09,0.62125,0.62295,0.62125,0.62295
2002-05-10,0.62295,0.6245,0.62295,0.6245
2002-05-13,0.6246,0.62575,0.6246,0.62575
2002-05-14,0.62575,0.62575,0.62245,0.62245
2002-05-15,0.62245,0.62485,0.62245,0.62485
2002-05-16,0.62485,0.62615,0.62485,0.62615
2002-05-17,0.62615,0.6315,0.62615,0.6315
2002-05-20,0.631,0.63155,0.631,0.63155
2002-05-21,0.63155,0.63155,0.63015,0.63015
2002-05-22,0.63015,0.63455,0.63015,0.63455
2002-05-23,0.63455,0.63455,0.63325,0.63325
2002-05-24,0.63325,0.63325,0.632,0.632
2002-05-27,0.6321,0.6321,0.6319,0.6319
2002-05-28,0.6319,0.63665,0.6319,0.63665
2002-05-29,0.63665,0.63995,0.63665,0.63995
2002-05-30,0.63995,0.63995,0.63945,0.63945
2002-05-31,0.63945,0.6411,0.63945,0.6411
2002-06-03,0.6408,0.64305,0.6408,0.64305
2002-06-04,0.64305,0.64395,0.64305,0.64395
2002-06-05,0.64395,0.64395,0.64345,0.64345
2002-06-06,0.64345,0.64885,0.64345,0.64885
2002-06-07,0.64885,0.64885,0.6466,0.6466
2002-06-10,0.6463,0.64675,0.6463,0.64675
2002-06-11,0.64675,0.64675,0.64445,0.64445
2002-06-12,0.64445,0.64445,0.64165,0.64165
2002-06-13,0.64165,0.64165,0.64085,0.64085
2002-06-14,0.64085,0.64085,0.6402,0.6402
2002-06-17,0.6396,0.6396,0.63835,0.63835
2002-06-18,0.63835,0.63855,0.63835,0.63855
2002-06-19,0.63855,0.64215,0.63855,0.64215
2002-06-20,0.64215,0.64395,0.64215,0.64395
2002-06-21,0.64395,0.6486,0.64395,0.6486
2002-06-24,0.6489,0.6489,0.64635,0.64635
2002-06-25,0.64635,0.64915,0.64635,0.64915
2002-06-26,0.64915,0.64915,0.64295,0.64295
2002-06-27,0.64295,0.64625,0.64295,0.64625
2002-06-28,0.64625,0.6468,0.64625,0.6468
2002-07-01,0.6464,0.64655,0.6464,0.64655
2002-07-02,0.64655,0.64655,0.64215,0.64215
2002-07-03,0.64215,0.64215,0.64205,0.64205
2002-07-04,0.64205,0.64205,0.64115,0.64115
2002-07-05,0.64115,0.64115,0.6392,0.6392
2002-07-08,0.6403,0.64135,0.6403,0.64135
2002-07-09,0.64135,0.64155,0.64135,0.64155
2002-07-10,0.64155,0.64155,0.63895,0.63895
2002-07-11,0.63895,0.63895,0.63635,0.63635
2002-07-12,0.63635,0.6381,0.63635,0.6381
2002-07-15,0.638,0.63945,0.638,0.63945
2002-07-16,0.63945,0.64215,0.63945,0.64215
2002-07-17,0.64215,0.64215,0.64115,0.64115
2002-07-18,0.64115,0.64295,0.64115,0.64295
2002-07-19,0.64295,0.64295,0.6413,0.6413
2002-07-22,0.6409,0.6409,0.63875,0.63875
2002-07-23,0.63875,0.63875,0.63255,0.63255
2002-07-24,0.63255,0.63285,0.63255,0.63285
2002-07-25,0.63285,0.63415,0.63285,0.63415
2002-07-26,0.63415,0.63415,0.6309,0.6309
2002-07-29,0.6306,0.6306,0.6275,0.6275
2002-07-30,0.6275,0.6275,0.62475,0.62475
2002-07-31,0.62475,0.6249,0.62475,0.6249
2002-08-01,0.6249,0.63055,0.6249,0.63055
2002-08-02,0.63055,0.63055,0.6283,0.6283
2002-08-05,0.6284,0.6284,0.62785,0.62785
2002-08-06,0.62785,0.62845,0.62785,0.62845
2002-08-07,0.62845,0.63315,0.62845,0.63315
2002-08-08,0.63315,0.63315,0.63155,0.63155
2002-08-09,0.63155,0.6365,0.63155,0.6365
2002-08-12,0.6362,0.63905,0.6362,0.63905
2002-08-13,0.63905,0.6399,0.63905,0.6399
2002-08-14,0.6399,0.6399,0.6375,0.6375
2002-08-15,0.6375,0.6393,0.6375,0.6393
2002-08-16,0.6393,0.64,0.6393,0.64
2002-08-19,0.6392,0.6392,0.6391,0.6391
2002-08-20,0.6391,0.64055,0.6391,0.64055
2002-08-21,0.64055,0.64055,0.64025,0.64025
2002-08-22,0.64025,0.64025,0.63705,0.63705
2002-08-23,0.63705,0.64,0.63705,0.64
2002-08-26,0.6401,0.6401,0.6387,0.6387
2002-08-27,0.6387,0.6407,0.6387,0.6407
2002-08-28,0.6407,0.6407,0.638,0.638
2002-08-29,0.638,0.638,0.6358,0.6358
2002-08-30,0.6358,0.6358,0.6334,0.6334
2002-09-02,0.6335,0.6355,0.6335,0.6355
2002-09-03,0.6355,0.6371,0.6355,0.6371
2002-09-04,0.6371,0.6371,0.6344,0.6344
2002-09-05,0.6344,0.6344,0.6337,0.6337
2002-09-09,0.63,0.63,0.6293,0.6293
2002-09-10,0.6293,0.6293,0.6271,0.6271
2002-09-12,0.6271,0.6287,0.6271,0.6287
2002-09-13,0.6287,0.6287,0.6263,0.6263
2002-09-16,0.6258,0.6289,0.6258,0.6289
2002-09-17,0.6289,0.6321,0.6289,0.6321
2002-09-18,0.6321,0.6321,0.6311,0.6311
2002-09-19,0.6311,0.634,0.6311,0.634
2002-09-20,0.634,0.634,0.6318,0.6318
2002-09-23,0.6316,0.6316,0.6306,0.6306
2002-09-24,0.6306,0.6306,0.6296,0.6296
2002-09-25,0.6296,0.6296,0.6269,0.6269
2002-09-26,0.6269,0.6269,0.6268,0.6268
2002-09-27,0.6268,0.6282,0.6268,0.6282
2002-09-30,0.6284,0.6294,0.6284,0.6294
2002-10-01,0.6294,0.6294,0.6278,0.6278
2002-10-02,0.6278,0.6287,0.6278,0.6287
2002-10-03,0.6287,0.6289,0.6287,0.6289
2002-10-04,0.6289,0.6289,0.6254,0.6254
2002-10-07,0.6261,0.6276,0.6261,0.6276
2002-10-08,0.6276,0.6301,0.6276,0.6301
2002-10-09,0.6301,0.6326,0.6301,0.6326
2002-10-10,0.6326,0.6326,0.6306,0.6306
