time,open,high,low,close
2025-09-30T21:00:00Z,1.3444,1.3445,1.34422,1.34445
2025-09-30T21:15:00Z,1.34444,1.34456,1.34432,1.3444
2025-09-30T21:30:00Z,1.34438,1.34454,1.34433,1.34452
2025-09-30T21:45:00Z,1.34452,1.3447,1.34426,1.34454
2025-09-30T22:00:00Z,1.34457,1.3452,1.34442,1.34478
2025-09-30T22:15:00Z,1.34478,1.3448,1.3446,1.3446
2025-09-30T22:30:00Z,1.3446,1.3447,1.34443,1.34444
2025-09-30T22:45:00Z,1.34444,1.34444,1.34427,1.34439
2025-09-30T23:00:00Z,1.34441,1.345,1.3443,1.34475
2025-09-30T23:15:00Z,1.34474,1.34496,1.34467,1.34468
2025-09-30T23:30:00Z,1.34468,1.34469,1.34436,1.34458
2025-09-30T23:45:00Z,1.34458,1.34467,1.34424,1.34426
2025-10-01T00:00:00Z,1.34426,1.34426,1.3436,1.3437
2025-10-01T00:15:00Z,1.3437,1.34435,1.34366,1.34416
2025-10-01T00:30:00Z,1.34416,1.34434,1.34398,1.3441
2025-10-01T00:45:00Z,1.34408,1.34442,1.34394,1.34409
2025-10-01T01:00:00Z,1.34408,1.34422,1.34348,1.34386
2025-10-01T01:15:00Z,1.34386,1.34422,1.34384,1.3441
2025-10-01T01:30:00Z,1.34409,1.3442,1.34375,1.34416
2025-10-01T01:45:00Z,1.34416,1.34424,1.34386,1.3442
2025-10-01T02:00:00Z,1.34421,1.34434,1.34389,1.34391
2025-10-01T02:15:00Z,1.3439,1.34433,1.3439,1.34412
2025-10-01T02:30:00Z,1.34411,1.34416,1.3435,1.34371
2025-10-01T02:45:00Z,1.34372,1.34426,1.3437,1.34414
2025-10-01T03:00:00Z,1.34414,1.34428,1.34388,1.34398
2025-10-01T03:15:00Z,1.34398,1.34402,1.34378,1.34396
2025-10-01T03:30:00Z,1.34395,1.34396,1.34362,1.34386
2025-10-01T03:45:00Z,1.34386,1.34424,1.34381,1.3441
2025-10-01T04:00:00Z,1.34409,1.34468,1.34409,1.34446
2025-10-01T04:15:00Z,1.34447,1.34478,1.34446,1.34477
2025-10-01T04:30:00Z,1.34476,1.34528,1.34476,1.34521
2025-10-01T04:45:00Z,1.3452,1.34642,1.34516,1.34631
2025-10-01T05:00:00Z,1.34632,1.34722,1.34596,1.34624
2025-10-01T05:15:00Z,1.34626,1.34667,1.34604,1.34626
2025-10-01T05:30:00Z,1.34626,1.34637,1.34604,1.34608
2025-10-01T05:45:00Z,1.34609,1.3461,1.34556,1.34556
2025-10-01T06:00:00Z,1.34556,1.34662,1.34554,1.34621
2025-10-01T06:15:00Z,1.34622,1.34676,1.3459,1.34676
2025-10-01T06:30:00Z,1.34674,1.3478,1.34657,1.34768
2025-10-01T06:45:00Z,1.34769,1.34778,1.34656,1.34663
2025-10-01T07:00:00Z,1.34662,1.34772,1.3466,1.34751
2025-10-01T07:15:00Z,1.3475,1.34776,1.34558,1.34578
2025-10-01T07:30:00Z,1.34578,1.3467,1.34538,1.34597
2025-10-01T07:45:00Z,1.34596,1.34704,1.3459,1.34673
2025-10-01T08:00:00Z,1.34674,1.34732,1.34666,1.34688
2025-10-01T08:15:00Z,1.34687,1.34768,1.34676,1.34722
2025-10-01T08:30:00Z,1.34722,1.34805,1.34701,1.34752
2025-10-01T08:45:00Z,1.34753,1.34766,1.34668,1.34674
2025-10-01T09:00:00Z,1.34674,1.34738,1.34666,1.34714
2025-10-01T09:15:00Z,1.34714,1.34722,1.3466,1.34707
