time,open,high,low,close
2002-05-06,1.4688,1.4688,1.4688,1.4688
2002-05-07,1.4688,1.4688,1.4681,1.4681
2002-05-08,1.4681,1.4681,1.45585,1.45585
2002-05-09,1.45585,1.46,1.45585,1.46
2002-05-10,1.46,1.4639,1.46,1.4639
2002-05-13,1.4638,1.4638,1.4567,1.4567
2002-05-14,1.4567,1.4567,1.4503,1.4503
2002-05-15,1.4503,1.4606,1.4503,1.4606
2002-05-16,1.4606,1.4606,1.4565,1.4565
2002-05-17,1.4565,1.4582,1.4565,1.4582
2002-05-20,1.4581,1.4584,1.4581,1.4584
2002-05-21,1.4584,1.4599,1.4584,1.4599
2002-05-22,1.4599,1.4599,1.4589,1.4589
2002-05-23,1.4589,1.4589,1.4551,1.4551
2002-05-24,1.4551,1.4573,1.4551,1.4573
2002-05-27,1.4573,1.4573,1.4571,1.4571
2002-05-28,1.4571,1.4591,1.4571,1.4591
2002-05-29,1.4591,1.462,1.4591,1.462
2002-05-30,1.462,1.4652,1.462,1.4652
2002-05-31,1.4652,1.4652,1.4568,1.4568
2002-06-03,1.4563,1.4634,1.4563,1.4634
2002-06-04,1.4634,1.4634,1.4588,1.4588
2002-06-05,1.4588,1.46,1.4588,1.46
2002-06-06,1.46,1.4608,1.46,1.4608
2002-06-07,1.4608,1.4608,1.4601,1.4601
2002-06-10,1.4595,1.46055,1.4595,1.46055
2002-06-11,1.46055,1.47155,1.46055,1.47155
2002-06-12,1.47155,1.47155,1.47115,1.47115
2002-06-13,1.47115,1.47235,1.47115,1.47235
2002-06-14,1.47235,1.4769,1.47235,1.4769
2002-06-17,1.4778,1.4798,1.4778,1.4798
2002-06-18,1.4798,1.4911,1.4798,1.4911
2002-06-19,1.4911,1.4912,1.4911,1.4912
2002-06-20,1.4912,1.4986,1.4912,1.4986
2002-06-21,1.4986,1.4986,1.4974,1.4974
2002-06-24,1.4974,1.50115,1.4974,1.50115
2002-06-25,1.50115,1.5088,1.50115,1.5088
2002-06-26,1.5088,1.5254,1.5088,1.5254
2002-06-27,1.5254,1.52965,1.5254,1.52965
2002-06-28,1.52965,1.5334,1.52965,1.5334
2002-07-01,1.5331,1.53315,1.5331,1.53315
2002-07-02,1.53315,1.53595,1.53315,1.53595
2002-07-03,1.53595,1.53595,1.52775,1.52775
2002-07-04,1.52775,1.52775,1.52765,1.52765
2002-07-05,1.52765,1.52765,1.5223,1.5223
2002-07-08,1.5222,1.54475,1.5222,1.54475
2002-07-09,1.54475,1.54875,1.54475,1.54875
2002-07-10,1.54875,1.54875,1.54755,1.54755
2002-07-11,1.54755,1.55475,1.54755,1.55475
2002-07-12,1.55475,1.55475,1.5536,1.5536
2002-07-15,1.5536,1.5692,1.5536,1.5692
2002-07-16,1.5692,1.5758,1.5692,1.5758
2002-07-17,1.5758,1.5758,1.5709,1.5709
2002-07-18,1.5709,1.5732,1.5709,1.5732
2002-07-19,1.5732,1.5776,1.5732,1.5776
2002-07-22,1.577,1.5797,1.577,1.5797
2002-07-23,1.5797,1.5797,1.5633,1.5633
2002-07-24,1.5633,1.57245,1.5633,1.57245
2002-07-25,1.57245,1.58415,1.57245,1.58415
2002-07-26,1.58415,1.58415,1.5648,1.5648
2002-07-29,1.56475,1.56475,1.56315,1.56315
2002-07-30,1.56315,1.57415,1.56315,1.57415
2002-07-31,1.57415,1.57415,1.56425,1.56425
2002-08-01,1.56425,1.56425,1.56125,1.56125
2002-08-02,1.56125,1.57,1.56125,1.57
2002-08-05,1.5703,1.5703,1.56105,1.56105
2002-08-06,1.56105,1.56105,1.53765,1.53765
2002-08-07,1.53765,1.53965,1.53765,1.53965
2002-08-08,1.53965,1.53965,1.5314,1.5314
2002-08-09,1.5314,1.5314,1.5244,1.5244
2002-08-12,1.5241,1.53175,1.5241,1.53175
2002-08-13,1.53175,1.5372,1.53175,1.5372
2002-08-14,1.5372,1.5372,1.5367,1.5367
2002-08-15,1.5367,1.5367,1.5359,1.5359
2002-08-16,1.5359,1.5391,1.5359,1.5391
2002-08-19,1.5391,1.5391,1.5273,1.5273
2002-08-20,1.5273,1.5286,1.5273,1.5286
2002-08-21,1.5286,1.5317,1.5286,1.5317
2002-08-22,1.5317,1.5317,1.5216,1.5216
2002-08-23,1.5216,1.5216,1.5204,1.5204
2002-08-26,1.5201,1.52165,1.5201,1.52165
2002-08-27,1.52165,1.53445,1.52165,1.53445
2002-08-28,1.53445,1.53445,1.5344,1.5344
2002-08-29,1.5344,1.5488,1.5344,1.5488
2002-08-30,1.5488,1.5508,1.5488,1.5508
2002-09-02,1.5507,1.5507,1.5481,1.5481
2002-09-03,1.5481,1.56465,1.5481,1.56465
2002-09-04,1.56465,1.565,1.56465,1.565
2002-09-05,1.565,1.5651,1.565,1.5651
2002-09-09,1.5582,1.5582,1.5568,1.5568
2002-09-10,1.5568,1.5568,1.5557,1.5557
2002-09-12,1.5557,1.5616,1.5557,1.5616
2002-09-13,1.5616,1.5616,1.5514,1.5514
2002-09-16,1.5511,1.5511,1.5409,1.5409
2002-09-17,1.5409,1.5419,1.5409,1.5419
2002-09-18,1.5419,1.54995,1.5419,1.54995
2002-09-19,1.54995,1.5562,1.54995,1.5562
2002-09-20,1.5562,1.5562,1.5547,1.5547
2002-09-23,1.5533,1.5533,1.5513,1.5513
2002-09-24,1.5513,1.5589,1.5513,1.5589
2002-09-25,1.5589,1.5589,1.5571,1.5571
2002-09-26,1.5571,1.558,1.5571,1.558
2002-09-27,1.558,1.5611,1.558,1.5611
2002-09-30,1.5614,1.569,1.5614,1.569
2002-10-01,1.569,1.569,1.5657,1.5657
2002-10-02,1.5657,1.5697,1.5657,1.5697
2002-10-03,1.5697,1.5706,1.5697,1.5706
2002-10-04,1.5706,1.5706,1.5657,1.5657
2002-10-07,1.5647,1.56675,1.5647,1.56675
2002-10-08,1.56675,1.56675,1.5533,1.5533
2002-10-09,1.5533,1.5644,1.5533,1.5644
2002-10-10,1.5644,1.5644,1.5642,1.5642
2002-10-11,1.5642,1.5642,1.5625,1.5625
2002-10-14,1.5622,1.5622,1.55785,1.55785
2002-10-15,1.55785,1.55785,1.55235,1.55235
2002-10-16,1.55235,1.554,1.55235,1.554
2002-10-17,1.554,1.554,1.5507,1.5507
2002-10-18,1.5507,1.5507,1.5462,1.5462
2002-10-21,1.5463,1.5463,1.5421,1.5421
2002-10-22,1.5421,1.5459,1.5421,1.5459
2002-10-23,1.5459,1.5488,1.5459,1.5488
2002-10-24,1.5488,1.5542,1.5488,1.5542
2002-10-25,1.5542,1.5542,1.5506,1.5506
2002-10-28,1.5475,1.56,1.5475,1.56
2002-10-29,1.56,1.56,1.5572,1.5572
2002-10-30,1.5572,1.5579,1.5572,1.5579
2002-10-31,1.5579,1.5647,1.5579,1.5647
2002-11-01,1.5647,1.5647,1.5637,1.5637
2002-11-04,1.5648,1.5648,1.5575,1.5575
2002-11-05,1.5575,1.5634,1.5575,1.5634
2002-11-06,1.5634,1.5644,1.5634,1.5644
2002-11-07,1.5644,1.58,1.5644,1.58
2002-11-08,1.58,1.5907,1.58,1.5907
2002-11-11,1.5906,1.5906,1.5868,1.5868
2002-11-12,1.5868,1.5895,1.5868,1.5895
2002-11-13,1.5895,1.5895,1.5854,1.5854
2002-11-14,1.5854,1.5854,1.5793,1.5793
2002-11-15,1.5793,1.5804,1.5793,1.5804
2002-11-18,1.5796,1.5817,1.5796,1.5817
2002-11-19,1.5817,1.5817,1.5807,1.5807
2002-11-20,1.5807,1.5807,1.5724,1.5724
2002-11-21,1.5724,1.5798,1.5724,1.5798
2002-11-22,1.5798,1.5801,1.5798,1.5801
2002-11-25,1.5794,1.5794,1.5641,1.5641
2002-11-26,1.5641,1.5641,1.552,1.552
2002-11-27,1.552,1.552,1.5471,1.5471
2002-11-28,1.5471,1.55165,1.5471,1.55165
2002-11-29,1.55165,1.5566,1.55165,1.5566
2002-12-02,1.5571,1.5581,1.5571,1.5581
2002-12-03,1.5581,1.5703,1.5581,1.5703
2002-12-04,1.5703,1.5703,1.5699,1.5699
2002-12-05,1.5699,1.5718,1.5699,1.5718
2002-12-06,1.5718,1.5758,1.5718,1.5758
2002-12-09,1.5791,1.57925,1.5791,1.57925
2002-12-10,1.57925,1.57925,1.5708,1.5708
2002-12-11,1.5708,1.5769,1.5708,1.5769
2002-12-12,1.5769,1.5818,1.5769,1.5818
2002-12-13,1.5818,1.5894,1.5818,1.5894
2002-12-16,1.5895,1.5921,1.5895,1.5921
2002-12-17,1.5921,1.5977,1.5921,1.5977
2002-12-18,1.5977,1.60075,1.5977,1.60075
2002-12-19,1.60075,1.6041,1.60075,1.6041
2002-12-20,1.6041,1.6041,1.6027,1.6027
2002-12-23,1.6025,1.6025,1.59395,1.59395
2002-12-24,1.59395,1.595,1.59395,1.595
2002-12-25,1.595,1.59585,1.595,1.59585
2002-12-26,1.59585,1.5998,1.59585,1.5998
2002-12-27,1.5998,1.6038,1.5998,1.6038
2002-12-30,1.6032,1.60465,1.6032,1.60465
2003-01-01,1.60465,1.6105,1.60465,1.6105
2003-01-02,1.6105,1.6105,1.59395,1.59395
2003-01-03,1.59395,1.6094,1.59395,1.6094
2003-01-06,1.6098,1.6098,1.6082,1.6082
2003-01-07,1.6082,1.6082,1.6046,1.6046
2003-01-08,1.6046,1.6123,1.6046,1.6123
2003-01-09,1.6123,1.6123,1.6064,1.6064
2003-01-10,1.6064,1.6084,1.6064,1.6084
2003-01-13,1.6065,1.6065,1.5998,1.5998
2003-01-14,1.5998,1.6052,1.5998,1.6052
2003-01-15,1.6052,1.6052,1.6048,1.6048
2003-01-16,1.6048,1.6109,1.6048,1.6109
2003-01-17,1.6109,1.6132,1.6109,1.6132
2003-01-20,1.6122,1.6122,1.6079,1.6079
2003-01-21,1.6079,1.6175,1.6079,1.6175
2003-01-22,1.6175,1.6193,1.6175,1.6193
2003-01-23,1.6193,1.6229,1.6193,1.6229
2003-01-24,1.6229,1.6337,1.6229,1.6337
2003-01-27,1.6332,1.6368,1.6332,1.6368
2003-01-28,1.6368,1.63945,1.6368,1.63945
2003-01-29,1.63945,1.6469,1.63945,1.6469
2003-01-30,1.6469,1.654,1.6469,1.654
2003-01-31,1.654,1.654,1.6472,1.6472
2003-02-03,1.6481,1.6481,1.6436,1.6436
2003-02-04,1.6436,1.6492,1.6436,1.6492
2003-02-05,1.6492,1.6492,1.6423,1.6423
2003-02-06,1.6423,1.6423,1.6386,1.6386
2003-02-07,1.6386,1.6386,1.6316,1.6316
2003-02-10,1.6316,1.6316,1.62665,1.62665
2003-02-11,1.62665,1.62665,1.6183,1.6183
2003-02-12,1.6183,1.6183,1.6163,1.6163
2003-02-13,1.6163,1.6193,1.6163,1.6193
2003-02-14,1.6193,1.6193,1.6144,1.6144
2003-02-17,1.6109,1.6109,1.5997,1.5997
2003-02-18,1.5997,1.5997,1.5905,1.5905
2003-02-19,1.5905,1.5965,1.5905,1.5965
2003-02-20,1.5965,1.5965,1.59355,1.59355
2003-02-21,1.59355,1.59355,1.5793,1.5793
2003-02-24,1.5757,1.5875,1.5757,1.5875
2003-02-25,1.5875,1.5875,1.5745,1.5745
2003-02-26,1.5745,1.5823,1.5745,1.5823
2003-02-27,1.5823,1.5823,1.5803,1.5803
2003-02-28,1.5803,1.5803,1.5739,1.5739
2003-03-03,1.5736,1.5787,1.5736,1.5787
2003-03-04,1.5787,1.5816,1.5787,1.5816
2003-03-05,1.5816,1.60085,1.5816,1.60085
2003-03-06,1.60085,1.6038,1.60085,1.6038
2003-03-07,1.6038,1.6038,1.6026,1.6026
2003-03-10,1.6035,1.6035,1.6021,1.6021
2003-03-11,1.6021,1.607,1.6021,1.607
2003-03-12,1.607,1.6128,1.607,1.6128
2003-03-13,1.6128,1.6128,1.6016,1.6016
2003-03-14,1.6016,1.6016,1.5832,1.5832
2003-03-17,1.586,1.586,1.5709,1.5709
2003-03-18,1.5709,1.5709,1.5665,1.5665
2003-03-19,1.5665,1.5665,1.5643,1.5643
2003-03-20,1.5643,1.5651,1.5643,1.5651
2003-03-21,1.5651,1.5651,1.5628,1.5628
2003-03-24,1.5656,1.5732,1.5656,1.5732
2003-03-25,1.5732,1.5732,1.5726,1.5726
2003-03-26,1.5726,1.5748,1.5726,1.5748
2003-03-27,1.5748,1.5748,1.5653,1.5653
2003-03-28,1.5653,1.5746,1.5653,1.5746
2003-03-31,1.5744,1.5834,1.5744,1.5834
2003-04-01,1.5834,1.5834,1.5775,1.5775
2003-04-02,1.5775,1.5775,1.5672,1.5672
2003-04-03,1.5672,1.5721,1.5672,1.5721
2003-04-04,1.5721,1.5721,1.5609,1.5609
2003-04-07,1.5562,1.5562,1.5547,1.5547
2003-04-08,1.5547,1.5547,1.5541,1.5541
2003-04-09,1.5541,1.56315,1.5541,1.56315
2003-04-10,1.56315,1.5727,1.56315,1.5727
2003-04-11,1.5727,1.5727,1.5706,1.5706
2003-04-14,1.5698,1.5739,1.5698,1.5739
2003-04-15,1.5739,1.5739,1.5702,1.5702
2003-04-16,1.5702,1.5805,1.5702,1.5805
2003-04-17,1.5805,1.5805,1.5705,1.5705
2003-04-18,1.5705,1.5712,1.5705,1.5712
2003-04-21,1.5716,1.5716,1.56345,1.56345
2003-04-22,1.56345,1.57755,1.56345,1.57755
2003-04-23,1.57755,1.5879,1.57755,1.5879
2003-04-24,1.5879,1.5933,1.5879,1.5933
2003-04-25,1.5933,1.5933,1.5918,1.5918
2003-04-28,1.593,1.593,1.5883,1.5883
2003-04-29,1.5883,1.5944,1.5883,1.5944
2003-04-30,1.5944,1.598,1.5944,1.598
2003-05-01,1.598,1.61115,1.598,1.61115
2003-05-02,1.61115,1.61115,1.6048,1.6048
2003-05-05,1.6039,1.6064,1.6039,1.6064
