time,open,high,low,close
2026-08-10T00:34:00+03:30,1.34971,1.34971,1.34971,1.34971
2026-08-10T00:35:00+03:30,1.3497,1.3497,1.3497,1.3497
2026-08-10T00:37:00+03:30,1.34945,1.34961,1.34945,1.34961
2026-08-10T00:38:00+03:30,1.34962,1.3497,1.34962,1.3497
2026-08-10T00:39:00+03:30,1.3497,1.34972,1.34968,1.34972
2026-08-10T00:40:00+03:30,1.34972,1.34974,1.34972,1.34973
2026-08-10T00:42:00+03:30,1.34976,1.34978,1.34975,1.34975
2026-08-10T00:43:00+03:30,1.34978,1.34978,1.34972,1.34973
2026-08-10T00:44:00+03:30,1.34976,1.34976,1.34973,1.34976
2026-08-10T00:45:00+03:30,1.34974,1.34977,1.34969,1.34974
2026-08-10T00:46:00+03:30,1.34972,1.34982,1.3496,1.34974
2026-08-10T00:47:00+03:30,1.34973,1.34976,1.34958,1.3496
2026-08-10T00:48:00+03:30,1.3496,1.34976,1.34958,1.34973
2026-08-10T00:49:00+03:30,1.34974,1.34979,1.34973,1.34974
2026-08-10T00:50:00+03:30,1.34974,1.34979,1.34959,1.3496
2026-08-10T00:51:00+03:30,1.34962,1.34963,1.34959,1.3496
2026-08-10T00:52:00+03:30,1.3496,1.34985,1.34958,1.34976
2026-08-10T00:53:00+03:30,1.34974,1.3498,1.3496,1.3496
2026-08-10T00:54:00+03:30,1.3496,1.3498,1.34958,1.34974
2026-08-10T00:55:00+03:30,1.34974,1.3498,1.3496,1.3496
2026-08-10T00:56:00+03:30,1.3496,1.3498,1.34958,1.34974
2026-08-10T00:57:00+03:30,1.34974,1.34988,1.3496,1.34986
2026-08-10T00:58:00+03:30,1.34986,1.34988,1.34978,1.34978
2026-08-10T00:59:00+03:30,1.34978,1.3499,1.34966,1.34983
2026-08-10T01:00:00+03:30,1.34984,1.34986,1.34957,1.34965
2026-08-10T01:01:00+03:30,1.34964,1.34968,1.34956,1.34958
2026-08-10T01:02:00+03:30,1.34958,1.34967,1.34956,1.3496
2026-08-10T01:03:00+03:30,1.34956,1.34982,1.3495,1.34962
2026-08-10T01:04:00+03:30,1.34962,1.34982,1.34955,1.3496
2026-08-10T01:05:00+03:30,1.3496,1.34982,1.3496,1.34978
2026-08-10T01:06:00+03:30,1.34975,1.34998,1.34948,1.34968
2026-08-10T01:07:00+03:30,1.34963,1.35,1.34898,1.34927
2026-08-10T01:08:00+03:30,1.34928,1.34941,1.34909,1.34921
2026-08-10T01:09:00+03:30,1.34921,1.34926,1.3491,1.34923
2026-08-10T01:10:00+03:30,1.3492,1.34932,1.34883,1.34929
2026-08-10T01:11:00+03:30,1.34929,1.34956,1.34888,1.34915
2026-08-10T01:12:00+03:30,1.34924,1.3494,1.34902,1.34918
2026-08-10T01:13:00+03:30,1.34918,1.34918,1.34918,1.34918
2026-08-10T01:14:00+03:30,1.3492,1.34932,1.34903,1.34932
2026-08-10T01:15:00+03:30,1.34932,1.34942,1.349,1.34906
2026-08-10T01:16:00+03:30,1.34904,1.34924,1.34862,1.34902
2026-08-10T01:17:00+03:30,1.34904,1.34936,1.34857,1.34936
2026-08-10T01:18:00+03:30,1.34934,1.34935,1.34925,1.3493
2026-08-10T01:19:00+03:30,1.3493,1.34932,1.34914,1.34922
2026-08-10T01:20:00+03:30,1.34922,1.34925,1.34906,1.34916
2026-08-10T01:21:00+03:30,1.34917,1.34934,1.34912,1.34917
2026-08-10T01:22:00+03:30,1.34918,1.3493,1.34911,1.34928
2026-08-10T01:23:00+03:30,1.3493,1.3493,1.34908,1.34926
2026-08-10T01:24:00+03:30,1.34926,1.3493,1.34914,1.34918
2026-08-10T01:25:00+03:30,1.34918,1.34929,1.34899,1.34903
2026-08-10T01:26:00+03:30,1.34911,1.34931,1.34891,1.34901
2026-08-10T01:27:00+03:30,1.34902,1.34915,1.34892,1.349
2026-08-10T01:28:00+03:30,1.34895,1.34924,1.34878,1.34921
2026-08-10T01:29:00+03:30,1.34918,1.3493,1.3488,1.34907
2026-08-10T01:30:00+03:30,1.34909,1.3494,1.34902,1.34932
2026-08-10T01:31:00+03:30,1.34932,1.34946,1.34932,1.34934
2026-08-10T01:32:00+03:30,1.34931,1.34931,1.34915,1.34915
2026-08-10T01:33:00+03:30,1.34914,1.34914,1.34901,1.34902
2026-08-10T01:34:00+03:30,1.34898,1.34902,1.34898,1.34898
2026-08-10T01:35:00+03:30,1.349,1.34901,1.34889,1.34892
2026-08-10T01:36:00+03:30,1.34893,1.34904,1.34892,1.34894
2026-08-10T01:37:00+03:30,1.34893,1.34904,1.34891,1.34904
2026-08-10T01:38:00+03:30,1.34904,1.34906,1.34903,1.34906
2026-08-10T01:39:00+03:30,1.34903,1.34906,1.34903,1.34906
2026-08-10T01:40:00+03:30,1.34905,1.34906,1.34902,1.34906
2026-08-10T01:41:00+03:30,1.34903,1.34904,1.34903,1.34904
2026-08-10T01:42:00+03:30,1.34903,1.34904,1.34903,1.34904
2026-08-10T01:43:00+03:30,1.34906,1.34914,1.34906,1.34907
2026-08-10T01:44:00+03:30,1.3491,1.34914,1.3491,1.34914
2026-08-10T01:45:00+03:30,1.34914,1.34914,1.34902,1.34905
2026-08-10T01:46:00+03:30,1.34906,1.34914,1.34906,1.34911
2026-08-10T01:47:00+03:30,1.34914,1.34914,1.34904,1.34906
2026-08-10T01:48:00+03:30,1.34906,1.34906,1.34905,1.34905
2026-08-10T01:49:00+03:30,1.34906,1.34906,1.34902,1.34904
2026-08-10T01:50:00+03:30,1.34904,1.34904,1.34904,1.34904
2026-08-10T01:51:00+03:30,1.34905,1.34906,1.34904,1.34904
2026-08-10T01:53:00+03:30,1.34905,1.3491,1.34904,1.34908
2026-08-10T01:54:00+03:30,1.34908,1.34909,1.34908,1.34909
2026-08-10T01:55:00+03:30,1.34909,1.3491,1.34908,1.3491
2026-08-10T01:57:00+03:30,1.34907,1.34907,1.34884,1.34884
2026-08-10T01:58:00+03:30,1.34884,1.34889,1.34884,1.34888
2026-08-10T01:59:00+03:30,1.3489,1.3489,1.34885,1.34885
2026-08-10T02:00:00+03:30,1.34886,1.34893,1.34885,1.34893
2026-08-10T02:01:00+03:30,1.34894,1.34894,1.34893,1.34893
2026-08-10T02:02:00+03:30,1.34894,1.34897,1.34893,1.34896
2026-08-10T02:03:00+03:30,1.34897,1.34897,1.34894,1.34896
2026-08-10T02:04:00+03:30,1.34894,1.34894,1.34894,1.34894
2026-08-10T02:05:00+03:30,1.34894,1.34894,1.34893,1.34893
2026-08-10T02:06:00+03:30,1.34894,1.34894,1.34894,1.34894
2026-08-10T02:07:00+03:30,1.34894,1.34894,1.34894,1.34894
2026-08-10T02:08:00+03:30,1.34894,1.34895,1.3489,1.3489
2026-08-10T02:09:00+03:30,1.34889,1.34901,1.34889,1.349
2026-08-10T02:10:00+03:30,1.349,1.34901,1.349,1.34901
2026-08-10T02:11:00+03:30,1.349,1.34901,1.349,1.349
2026-08-10T02:13:00+03:30,1.34901,1.34901,1.34899,1.34899
2026-08-10T02:14:00+03:30,1.34898,1.34898,1.34898,1.34898
2026-08-10T02:15:00+03:30,1.34898,1.34903,1.34898,1.349
2026-08-10T02:16:00+03:30,1.34902,1.34902,1.34898,1.34898
2026-08-10T02:17:00+03:30,1.34899,1.34902,1.34898,1.34902
