time,open,high,low,close
2015-04-20,4411.6,4417.6,4410.4,4417.4
2015-04-21,4417.1,4450.8,4417.1,4442.9
2015-04-22,4443.1,4467.8,4406.8,4452.4
2015-04-23,4452.1,4505.5,4426.1,4499.7
2015-04-24,4499.4,4544.9,4499.2,4538.8
2015-04-27,4541,4564.2,4517,4535
2015-04-28,4534.8,4539.9,4479.5,4518.5
2015-04-29,4518.8,4522.5,4464.2,4476.9
2015-04-30,4476.7,4485.9,4393.9,4418.7
2015-05-01,4418.4,4479,4417.2,4476.6
2015-05-04,4472.1,4511.8,4464.6,4481.3
2015-05-05,4481.6,4487.5,4406.1,4418.3
2015-05-06,4418.6,4430.8,4348.3,4374.2
2015-05-07,4373.9,4414.1,4336.4,4408.7
2015-05-08,4408.4,4467.4,4406.4,4453.5
2015-05-11,4454.8,4469.2,4428,4433.1
2015-05-12,4433.4,4442.3,4432.2,4432.2
2015-05-13,4432.5,4462.4,4421,4431.2
2015-05-14,4431.5,4497.4,4416.2,4494.6
2015-05-15,4494.9,4511.8,4494.9,4495.1
2015-05-18,4491.2,4522.1,4474,4512.5
2015-05-19,4512.2,4529.6,4497.9,4503.4
2015-05-20,4503.1,4537,4484.9,4493.9
2015-05-21,4494.1,4539.8,4490.4,4531.4
2015-05-22,4531.9,4545.5,4524.9,4530.6
2015-05-25,4531.4,4540.1,4520.4,4528.9
2015-05-26,4528.6,4531.5,4457.4,4479.3
2015-05-27,4479.6,4554,4475.1,4544.1
2015-05-28,4543.9,4550.3,4523.6,4543.9
2015-05-29,4544.1,4547.9,4499.1,4518.9
2015-06-01,4519.1,4540.2,4487.6,4527.6
2015-06-02,4527.8,4533.7,4482.3,4507.8
2015-06-03,4507.6,4542.7,4503.6,4528.3
2015-06-04,4528.1,4528.1,4474.1,4496.1
2015-06-05,4495.8,4508,4450.6,4483.1
2015-06-08,4481.7,4482.9,4422.9,4438.2
2015-06-09,4437.9,4442.7,4390.7,4434.1
2015-06-10,4434.3,4499.2,4430.3,4484.5
2015-06-11,4484.2,4512.9,4480.2,4487.4
2015-06-12,4487.1,4488.6,4447.4,4455.6
2015-06-15,4436.4,4445,4393.6,4431.9
2015-06-16,4432.1,4464.3,4402.4,4459.6
2015-06-17,4459.3,4483.6,4439.1,4461.8
2015-06-18,4461.1,4543,4447.3,4535.5
2015-06-19,4535.3,4547.9,4501.6,4511.6
2015-06-22,4525,4560.4,4522.5,4547.5
2015-06-23,4547.8,4556.5,4530,4551.4
2015-06-24,4551.1,4563.3,4517.5,4529.6
