time,open,high,low,close
2017-05-01,20927,20990,20896,20935
2017-05-02,20933,20960,20903,20924
2017-05-03,20919,20971,20870,20936
2017-05-04,20930,21011,20839,20937
2017-05-05,20940,21034,20875,21028
2017-05-08,21056,21058,20956,20994
2017-05-09,20998,21041,20935,20946
2017-05-10,20910,20975,20883,20927
2017-05-11,20922,20929,20796,20903
2017-05-12,20884,20916,20863,20886
2017-05-15,20941,21000,20904,20984
2017-05-16,20968,21031,20931,20975
2017-05-17,20843,20882,20602,20608
2017-05-18,20664,20759,20496,20663
2017-05-19,20664,20857,20651,20814
2017-05-22,20847,20914,20788,20908
2017-05-23,20877,20963,20874,20935
2017-05-24,20942,21020,20927,21014
2017-05-25,21094,21113,21050,21080
2017-05-26,21072,21093,21039,21087
2017-05-29,21096,21110,21086,21096
2017-05-30,21057,21077,21007,21031
2017-05-31,21043,21068,20938,21039
2017-06-01,21011,21145,20991,21135
2017-06-02,21198,21232,21131,21205
2017-06-05,21203,21227,21170,21195
2017-06-06,21159,21186,21125,21156
2017-06-07,21160,21198,21118,21178
2017-06-08,21194,21277,21146,21206
2017-06-09,21201,21321,21172,21262
2017-06-12,21251,21289,21204,21252
2017-06-13,21276,21352,21260,21348
2017-06-14,21339,21408,21308,21387
2017-06-15,21350,21384,21274,21372
2017-06-16,21406,21422,21320,21414
2017-06-19,21444,21535,21443,21523
2017-06-20,21534,21545,21474,21489
2017-06-21,21487,21509,21400,21422
2017-06-22,21432,21467,21402,21408
2017-06-23,21425,21437,21344,21377
2017-06-26,21440,21520,21393,21436
2017-06-27,21410,21456,21332,21336
2017-06-28,21356,21501,21320,21497
2017-06-29,21506,21517,21205,21332
2017-06-30,21326,21435,21299,21387
2017-07-03,21408,21575,21405,21517
2017-07-04,21477,21540,21471,21499
2017-07-05,20966,21524,20966,21491
2017-07-06,21472,21478,21022,21343
2017-07-07,21352,21435,21322,21423
2017-07-10,21448,21457,21376,21419
2017-07-11,21442,21455,21287,21441
2017-07-12,21434,21594,21429,21553
2017-07-13,21557,21583,21523,21577
2017-07-14,21572,21693,21535,21669
2017-07-17,21669,21687,21626,21653
2017-07-18,21643,21670,21478,21581
2017-07-19,21584,21664,21566,21647
2017-07-20,21651,21686,21586,21642
2017-07-21,21638,21652,21514,21582
2017-07-24,21573,21596,21509,21559
2017-07-25,21552,21704,21552,21631
2017-07-26,21629,21754,21628,21705
2017-07-27,21733,21808,21697,21803
2017-07-28,21788,21848,21757,21838
2017-07-31,21847,21933,21845,21905
2017-08-01,22008,22026,21951,21972
2017-08-02,22014,22047,21978,22022
2017-08-03,22012,22054,21994,22037
2017-08-04,22055,22113,22038,22095
2017-08-07,22133,22139,22098,22134
2017-08-08,22118,22196,22074,22103
2017-08-09,22074,22079,22016,22068
2017-08-10,22048,22048,21866,21871
2017-08-11,21886,21930,21836,21879
2017-08-14,21968,22037,21960,22006
2017-08-15,22056,22066,21989,22024
2017-08-16,22042,22104,22021,22043
2017-08-17,22037,22057,21773,21775
2017-08-18,21763,21812,21662,21697
2017-08-21,21698,21740,21621,21727
2017-08-22,21807,21931,21752,21917
2017-08-23,21901,21911,21821,21834
2017-08-24,21849,21899,21782,21803
2017-08-25,21825,21925,21788,21836
2017-08-28,21791,21894,21784,21824
2017-08-29,21724,21897,21665,21883
2017-08-30,21956,21956,21846,21905
2017-08-31,21918,22000,21911,21965
2017-09-01,22002,22052,21989,22000
2017-09-04,21923,21964,21921,21951
2017-09-05,21956,21967,21723,21773
2017-09-06,21785,21864,21766,21829
2017-09-07,21793,21865,21758,21803
2017-09-08,21754,21863,21730,21813
2017-09-11,21941,22083,21932,22070
2017-09-12,22085,22154,22077,22137
2017-09-13,22152,22174,22109,22172
2017-09-14,22165,22230,22128,22220
2017-09-15,22199,22286,22181,22279
2017-09-18,22284,22369,22279,22347
2017-09-19,22356,22399,22351,22390
2017-09-20,22382,22430,22331,22428
2017-09-21,22431,22445,22375,22382
2017-09-22,22385,22390,22315,22362
2017-09-25,22359,22397,22232,22314
2017-09-26,22336,22383,22294,22303
2017-09-27,22307,22384,22267,22350
2017-09-28,22337,22404,22296,22385
2017-09-29,22376,22411,22341,22403
2017-10-02,22409,22558,22408,22557
2017-10-03,22571,22650,22561,22647
2017-10-04,22667,22691,22641,22665
2017-10-05,22655,22779,22651,22778
2017-10-06,22782,22790,22732,22769
2017-10-09,22755,22804,22740,22760
2017-10-10,22762,22853,22761,22836
2017-10-11,22835,22872,22811,22870
2017-10-12,22867,22887,22824,22845
2017-10-13,22845,22907,22834,22883
2017-10-16,22898,22965,22892,22957
2017-10-17,22953,23007,22945,22998
2017-10-18,23014,23182,23014,23165
2017-10-19,23169,23182,23010,23173
2017-10-20,23175,23335,23161,23332
2017-10-23,23347,23379,23285,23292
2017-10-24,23292,23497,23290,23455
2017-10-25,23450,23476,23264,23344
2017-10-26,23368,23466,23351,23412
2017-10-27,23413,23470,23360,23440
2017-10-30,23431,23452,23341,23361
2017-10-31,23350,23419,23335,23392
2017-11-01,23409,23531,23389,23445
2017-11-02,23432,23539,23356,23519
2017-11-03,23521,23564,23484,23540
2017-11-06,23528,23580,23480,23556
2017-11-07,23569,23630,23487,23559
2017-11-08,23525,23583,23508,23567
2017-11-09,23556,23589,23313,23467
2017-11-10,23457,23492,23383,23431
2017-11-13,23447,23478,23336,23453
2017-11-14,23445,23472,23278,23417
2017-11-15,23404,23404,23251,23286
2017-11-16,23295,23499,23279,23464
2017-11-17,23450,23476,23361,23364
2017-11-20,23363,23464,23278,23439
2017-11-21,23430,23625,23415,23597
2017-11-22,23581,23632,23510,23533
2017-11-23,23525,23542,23465,23532
2017-11-24,23520,23605,23513,23551
2017-11-27,23566,23649,23506,23591
2017-11-28,23588,23862,23557,23848
2017-11-29,23826,23972,23815,23953
2017-11-30,23931,24343,23905,24276
2017-12-01,24260,24340,23938,24245
2017-12-04,24444,24554,24305,24308
2017-12-05,24321,24407,24175,24200
2017-12-06,24222,24253,24106,24171
2017-12-07,24180,24284,24094,24232
2017-12-08,24258,24346,24230,24346
2017-12-11,24363,24416,24341,24412
2017-12-12,24442,24580,24421,24536
2017-12-13,24548,24693,24491,24623
2017-12-14,24651,24704,24539,24546
2017-12-15,24545,24711,24544,24663
2017-12-18,24729,24903,24715,24828
2017-12-19,24836,24900,24739,24783
2017-12-20,24783,24889,24716,24752
2017-12-21,24760,24870,24725,24805
2017-12-22,24804,24856,24742,24788
2017-12-27,24805,24838,24782,24812
2017-12-28,24816,24861,24806,24837
2017-12-29,24837,24907,24746,24763
2018-01-02,24796,24885,24743,24825
2018-01-03,24805,24937,24796,24916
2018-01-04,24913,25106,24902,25073
2018-01-05,25089,25296,25086,25285
