time,open,high,low,close
1999-02-18,1224,1239.1,1220.7,1237.3
1999-02-19,1237.3,1247.9,1232,1239.2
1999-02-22,1239.2,1272.2,1239.2,1272.1
1999-02-23,1272.1,1280.4,1263.4,1271.2
1999-02-24,1271.2,1283.8,1251.9,1253.4
1999-02-25,1253.4,1253.4,1225,1245
1999-02-26,1245,1246.7,1226.2,1238.3
1999-03-01,1238.3,1238.7,1221.9,1236.2
1999-03-02,1236.2,1248.3,1221.9,1225.5
1999-03-03,1225.5,1231.6,1216,1227.7
1999-03-04,1227.7,1247.7,1227.7,1246.6
1999-03-05,1246.6,1275.7,1246.6,1275.5
1999-03-08,1275.5,1282.7,1271.6,1282.7
1999-03-09,1282.7,1293.7,1275.1,1279.8
1999-03-10,1279.8,1287,1275.2,1286.8
1999-03-11,1286.8,1306.4,1286.8,1297.7
1999-03-12,1297.7,1304.4,1289.2,1294.6
1999-03-15,1294.6,1307.5,1291,1307.3
1999-03-16,1307.3,1311.1,1302.3,1306.4
1999-03-17,1306.4,1306.6,1292.6,1297.8
1999-03-18,1297.8,1317.6,1294.8,1316.6
1999-03-19,1316.6,1323.8,1298.9,1299.3
1999-03-22,1299.3,1303.8,1294.3,1297
1999-03-23,1297,1297,1257.5,1262.1
1999-03-24,1262.1,1269,1256.4,1268.6
1999-03-25,1268.6,1290,1268.6,1290
1999-03-26,1290,1290,1277.3,1282.8
1999-03-29,1282.8,1311.8,1282.8,1310.2
1999-03-30,1310.2,1310.2,1295.5,1300.8
1999-03-31,1300.8,1313.6,1285.9,1286.4
1999-04-01,1286.4,1294.5,1282.6,1293.7
1999-04-05,1293.7,1321.2,1293.7,1321.1
1999-04-06,1321.1,1326.8,1311.1,1317.9
1999-04-07,1317.9,1329.6,1312.6,1326.9
1999-04-08,1326.9,1344.1,1321.6,1344
1999-04-09,1344,1351.2,1335.2,1348.4
1999-04-12,1348.4,1358.7,1333.5,1358.6
1999-04-13,1358.6,1362.1,1344.2,1349.8
1999-04-14,1349.8,1357.2,1326.4,1328.4
1999-04-15,1328.4,1332.4,1308.4,1322.9
1999-04-16,1322.9,1325,1311.4,1319
1999-04-19,1319,1340.1,1284.5,1289.5
1999-04-20,1289.5,1306.3,1284.2,1306.2
1999-04-21,1306.2,1336.1,1301.8,1336.1
1999-04-22,1336.1,1358.8,1336.1,1358.8
1999-04-23,1358.8,1363.7,1348.5,1356.9
1999-04-26,1356.9,1363.6,1353.7,1360
1999-04-27,1360,1371.6,1356.6,1362.8
1999-04-28,1362.8,1368.6,1348.3,1350.9
1999-04-29,1350.9,1356.8,1336.8,1342.8
1999-04-30,1342.8,1351.8,1314.6,1335.2
1999-05-03,1335.2,1354.6,1329,1354.6
1999-05-04,1354.6,1354.6,1330.6,1332
1999-05-05,1332,1347.3,1317.4,1347.3
1999-05-06,1347.3,1348.4,1322.6,1332.1
