time,open,high,low,close
2026-05-10T22:00:00Z,7383.5,7385.7,7372.3,7374
2026-05-10T22:05:00Z,7374.1,7375.7,7370.1,7375.7
2026-05-10T22:10:00Z,7375.6,7379.4,7374.7,7375.4
2026-05-10T22:15:00Z,7375.9,7375.9,7366.2,7369.5
2026-05-10T22:20:00Z,7369.6,7373,7367.5,7372.8
2026-05-10T22:25:00Z,7373,7375.5,7373,7375.5
2026-05-10T22:30:00Z,7375.4,7375.7,7374.2,7374.7
2026-05-10T22:35:00Z,7374.6,7374.6,7372.2,7372.7
2026-05-10T22:40:00Z,7372.4,7374.7,7371.6,7374.7
2026-05-10T22:45:00Z,7374.6,7378.4,7374.6,7378.2
2026-05-10T22:50:00Z,7378.1,7378.6,7376.8,7378.1
2026-05-10T22:55:00Z,7378,7381.6,7377.9,7380.2
2026-05-10T23:00:00Z,7380,7382.5,7379.5,7381.6
2026-05-10T23:05:00Z,7381.7,7384.3,7381.5,7384
2026-05-10T23:10:00Z,7384.1,7384.8,7381,7382
2026-05-10T23:15:00Z,7381.7,7383.9,7381.6,7383.4
2026-05-10T23:20:00Z,7383.5,7384.7,7383.1,7384.2
2026-05-10T23:25:00Z,7384.4,7384.4,7379.8,7380.4
2026-05-10T23:30:00Z,7380.2,7381,7377.8,7379.6
2026-05-10T23:35:00Z,7379.7,7380.3,7377.8,7378.2
2026-05-10T23:40:00Z,7378.3,7380.5,7378.2,7380
2026-05-10T23:45:00Z,7380.1,7381.6,7377.8,7380.4
2026-05-10T23:50:00Z,7380.3,7380.3,7378.3,7378.6
2026-05-10T23:55:00Z,7378.7,7380.1,7377.6,7378.9
2026-05-11T00:00:00Z,7379.1,7382,7378.6,7382
2026-05-11T00:05:00Z,7382.2,7384.8,7381.7,7384
2026-05-11T00:10:00Z,7383.9,7384.6,7382.5,7383.5
2026-05-11T00:15:00Z,7383.2,7383.2,7380.7,7382.6
2026-05-11T00:20:00Z,7382.3,7385.2,7382.3,7385
2026-05-11T00:25:00Z,7384.9,7386.8,7383.1,7385.8
2026-05-11T00:30:00Z,7386.1,7388.1,7386.1,7388.1
2026-05-11T00:35:00Z,7387.8,7388.9,7386,7386
2026-05-11T00:40:00Z,7386.1,7388,7385.7,7386.9
2026-05-11T00:45:00Z,7386.6,7386.9,7384.8,7385.2
2026-05-11T00:50:00Z,7385,7385,7373.2,7377
